512,0.0
1008,0.0
1504,10.97
2000,25.4
2512,35.19
3008,34.95
3504,40.15
4000,49.27
4512,50.54
5008,52.07
5504,58.12
6000,56.13
6512,61.4
7008,62.98
7504,68.89
8000,68.19
8512,70.81
9008,72.59
9504,74.9
10000,75.6
10512,76.35
11008,75.36
11504,75.86
12000,79.36
12512,76.45
13008,78.37
13504,79.31
14000,79.02
14512,76.22
15024,81.04
15520,82.45
16016,79.51
16512,78.6
17024,79.69
17520,82.46
18016,83.77
18512,81.87
19024,81.43
19520,80.77
20016,78.45
20512,81.61
21024,79.81
21520,82.8
22016,81.27
22512,80.75
23024,82.35
23520,82.56
24016,82.77
24512,81.84
25024,79.48
25520,81.15
26016,82.54
26512,79.88
27024,84.55
27520,83.65
28016,82.66
28512,83.09
29024,84.47
29536,81.75
30032,85.19
30528,82.25
31024,82.45
31536,82.85
32032,83.98
32528,84.38
33024,84.26
33536,83.08
34032,82.98
34528,83.52
35024,85.24
35536,83.48
36032,83.08
36528,83.16
37024,83.66
37536,81.47
38032,82.29
38528,83.85
39024,81.91
39536,82.88
40032,83.48
40528,84.45
41024,84.63
41536,82.9
42032,82.26
42528,82.47
43024,83.44
43536,84.04
44048,82.88
44544,83.3
45040,83.8
45536,82.96
46048,83.08
46544,84.21
47040,84.51
47536,82.87
48048,84.02
48544,83.24
49040,84.95
49536,83.7
50048,83.11
50544,82.37
51040,84.52
51536,82.65
52048,83.48
52544,84.51
53040,84.34
53536,84.2
54048,83.41
54544,85.39
55040,84.87
55536,83.33
56048,82.81
56544,84.42
57040,84.54
57536,83.99
58048,82.12
58560,84.32
59056,84.75
59552,85.23
60048,85.17
60560,83.88
61056,83.66
61552,83.56
62048,82.98
62560,83.68
63056,84.21
63552,84.2
64048,85.37
64560,84.09
65056,84.28
65552,83.05
66048,83.52
66560,84.48
67056,84.96
67552,84.81
68048,85.96
68560,83.19
69056,85.31
69552,84.74
70048,83.88
70560,84.31
71056,83.4
71552,83.26
72048,84.34
72560,83.68
512,23.34
512,30.18
1024,16.54
1504,34.28
2016,36.15
2528,39.76
512,14.50
512,21.70
1008,44.35
1504,63.59
2000,79.36
2512,84.80
3008,88.18
3504,89.63
4000,90.85
4512,91.27
5008,92.06
5504,92.45
6000,92.61
6512,92.82
7008,93.09
7504,93.21
8000,93.42
8512,93.61
