512,14.29
1008,26.35
1504,30.14
2000,36.22
2512,38.35
3008,39.18
3504,39.94
4000,41.10
4512,42.70
5008,44.95
5504,46.05
6000,47.84
6512,50.00
7008,52.06
7504,54.47
8000,56.83
8512,58.81
9008,61.74
9504,64.15
10000,65.33
10512,66.65
11008,67.99
11504,69.31
12000,70.28
12512,71.77
13008,72.80
13504,73.60
14000,74.34
14512,74.93
15008,75.94
15504,75.86
16000,76.92
16512,77.28
17008,77.87
17504,78.05
18000,78.69
18512,78.77
19008,79.18
19504,79.44
20000,79.85
20512,80.01
21008,80.37
21504,80.78
22000,81.01
22512,81.27
23008,81.29
23504,81.77
24000,81.73
24512,81.81
25008,82.54
25504,82.33
26000,82.65
26512,82.80
27008,82.99
27504,83.11
28000,83.40
28512,83.63
29008,83.70
29504,83.97
30000,84.07
30512,84.34
31008,84.56
31504,84.61
32000,85.03
32512,84.88
33008,85.04
33504,85.06
34000,85.37
34512,85.29
35008,85.63
35504,85.74
36000,85.87
36512,85.98
37008,86.25
37504,86.39
38008,86.46
38504,86.60
39000,86.73
39512,86.81
40008,86.82
40504,87.06
41000,87.10
41512,86.82
42008,87.14
42504,87.30
43000,87.33
43512,87.62
44008,87.66
44504,87.60
45000,87.65
45512,87.83
46008,87.70
46504,87.89
47000,87.75
47512,88.15
48008,88.12
48504,88.25
49000,88.00
49512,88.37
50008,88.03
50504,88.44
51000,88.72
51512,88.58
52008,88.66
52504,88.62
53000,88.66
53512,88.80
54008,88.76
54504,88.99
55000,88.83
55512,88.95
56008,89.02
56504,89.02
57000,89.11
57512,89.33
58008,89.33
58504,89.46
59000,89.42
59512,89.34
60008,89.52
60504,89.58
61000,89.76
61512,89.58
62008,89.26
62504,89.57
63000,89.82
63512,89.68
64008,89.99
64504,89.55
65000,89.88
65512,89.91
66008,90.13
66504,89.95
67000,90.06
67512,90.18
68008,89.71
68504,90.34
69000,89.97
69512,90.25
70008,90.44
70504,90.31
71000,90.28
71512,90.39
72008,90.54
72504,90.50
73000,90.34
73512,90.51
74008,90.50
74504,90.69
75000,90.59
75512,90.31
76000,90.62
76512,90.66
77008,90.42
77504,90.80
78000,90.77
78512,90.66
79008,90.78
79504,90.55
80000,90.74
80512,90.65
81008,90.92
81504,90.84
82000,90.93
82512,90.93
83008,91.00
83504,90.97
84000,90.89
84512,91.02
85008,91.19
85504,91.07
86000,90.94
86512,91.01
87008,91.13
87504,91.08
88000,91.03
88512,90.95
89008,91.24
89504,91.31
90000,91.31
90512,91.41
91008,91.31
91504,91.36
92000,91.44
92512,91.42
93008,91.34
93504,91.32
94000,91.28
94512,91.19
95008,91.45
95504,91.48
96000,91.42
96512,91.49
97008,91.44
97504,91.54
98000,91.58
98512,91.62
99008,91.59
99504,91.56
100000,91.46
100512,91.60
101008,91.72
101504,91.74
102000,91.69
102512,91.69
103008,91.64
103504,91.46
104000,91.75
104512,91.80
105008,91.71
105504,91.83
106000,91.67
106512,91.96
107008,91.93
107504,91.93
108000,91.52
108512,91.84
109008,91.83
109504,91.79
110000,91.93
110512,91.78
111008,91.73
111504,91.82
112000,92.10
112512,91.99
113008,92.09
113512,91.77
114008,91.85
114504,92.04
115000,92.03
115512,91.98
116008,92.00
116504,92.14
117000,92.13
117512,92.14
118008,92.06
118504,92.15
119000,92.14
119512,91.94
120008,92.13
120504,92.24
121000,92.19
121512,92.16
122008,91.88
122504,92.01
123000,92.18
123512,91.82
124008,92.07
124504,92.08
125000,92.30
125512,92.25
126008,92.29
126504,92.39
127000,92.28
127512,92.09
128008,92.46
128504,92.38
129000,92.46
129512,92.40
130008,92.38
130504,92.22
131000,92.31
131512,92.19
132008,92.39
132504,92.34
133000,92.18
133512,92.36
134008,92.33
134504,92.38
135000,92.41
135512,92.51
136008,92.49
136504,92.52
137000,92.55
137512,92.15
138008,92.57
138504,92.40
139000,92.35
139512,92.47
140008,92.36
140504,92.39
141000,92.61
141512,92.64
142008,92.25
142504,92.59
143000,92.62
143512,92.62
144008,92.66
144504,92.49
145000,92.73
145512,92.59
146008,92.58
146504,92.45
147000,92.23
147512,92.63
148008,92.49
148504,92.72
149000,92.76
149512,92.79
150008,92.43
150504,92.38
151000,92.74
151504,92.72
152000,92.46
152512,92.70
153008,92.65
153504,92.82
154000,92.80
154512,92.82
155008,92.76
155504,92.49
156000,92.84
156512,92.90
157008,92.89
157504,92.61
158000,92.68
158512,92.70
159008,92.80
159504,92.77
160000,92.93
160512,92.55
161008,92.85
161504,92.78
162000,92.81
162512,92.67
163008,92.84
163504,92.86
164000,92.31
164512,92.85
165008,92.86
165504,92.89
166000,92.87
166512,92.80
167008,92.87
167504,92.93
168000,92.79
168512,92.89
169008,92.85
169504,92.96
170000,93.09
170512,92.60
171008,92.90
171504,92.58
172000,92.98
172512,92.99
173008,92.81
173504,92.92
174000,92.87
174512,93.01
175008,92.99
175504,93.10
176000,93.05
176512,92.75
177008,93.14
177504,93.13
178000,93.03
178512,92.88
