512,0.00
1024,0.00
1504,0.00
2016,0.00
2528,0.00
3008,0.00
3520,0.00
4000,0.00
4512,0.00
5024,0.00
5504,0.00
6016,0.08
6528,0.09
7008,0.20
7520,0.53
8000,2.13
8512,2.48
9024,4.21
9504,3.86
10016,7.03
10528,7.36
11008,12.19
11520,14.34
12000,12.17
12512,12.57
13024,13.61
13504,17.66
14016,16.75
14528,17.59
15019,15.30
15531,20.46
16011,20.26
16523,21.06
17003,22.85
17515,24.62
18027,24.81
18507,25.64
19019,28.11
19531,26.71
20011,26.99
20523,23.70
21003,26.21
21515,28.41
22027,30.90
22507,32.63
23019,34.72
23531,34.96
24011,29.49
24523,35.50
25003,32.99
25515,34.59
26027,33.94
26507,36.81
27019,35.57
27531,36.01
28011,37.82
28523,40.87
29003,37.58
29515,36.36
30006,39.58
30518,39.51
31030,41.47
31510,41.94
32022,40.90
32502,42.10
33014,42.61
33526,41.26
34006,44.44
34518,43.15
35030,42.53
35510,45.81
36022,45.94
36502,43.35
37014,47.23
37526,43.07
38006,44.54
38518,46.91
39030,46.52
39510,45.94
40022,45.55
40502,48.51
41014,44.47
41526,47.86
42006,47.63
42518,44.57
43030,48.01
43510,49.16
44022,48.63
44502,46.95
45025,48.52
45505,50.33
46017,49.70
46529,48.12
47009,47.66
47521,50.66
48001,49.10
48513,49.98
49025,50.82
49505,51.31
50017,47.97
50529,51.69
51009,51.84
51521,51.94
52001,50.70
52513,50.70
53025,54.11
53505,53.42
54017,52.18
54529,53.64
55009,53.50
55521,54.21
56001,53.47
56513,51.62
57025,55.78
57505,55.95
58017,52.40
58529,51.85
59009,56.56
59521,55.91
60012,55.98
60524,53.07
61004,56.45
61516,54.89
62028,55.90
62508,57.21
63020,53.28
63500,55.43
64012,56.03
64524,55.19
65004,57.90
65516,57.46
66028,55.19
66508,56.75
67020,58.62
67500,56.02
68012,57.35
68524,58.15
69004,57.63
69516,56.56
70028,56.12
70508,57.41
71020,58.56
71500,55.45
72012,57.86
72524,56.92
73004,58.77
73516,57.46
74028,59.89
74508,58.39
