512,0.0
1008,0.01
1504,12.16
2000,26.98
2512,39.9
3008,43.26
3504,47.7
4000,55.24
4512,63.04
5008,66.95
5504,66.06
6000,69.07
6512,70.39
7008,71.87
7504,70.7
8000,75.68
8512,73.85
9008,75.58
9504,77.01
10000,76.73
10512,75.6
11008,77.8
11504,75.68
12000,77.46
12512,74.29
13008,76.12
13504,78.1
14000,77.78
14512,77.29
15024,75.3
15520,77.98
16016,78.15
16512,77.22
17024,78.69
17520,79.82
18016,78.45
18512,80.89
19024,79.27
19520,78.26
20016,80.47
20512,81.44
21024,79.34
21520,81.3
22016,80.4
22512,80.44
23024,81.3
23520,80.47
24016,80.12
24512,79.93
25024,79.88
25520,81.98
26016,82.01
26512,81.06
27024,80.67
27520,82.2
28016,81.34
28512,81.83
29024,81.0
29536,80.26
30032,81.73
30528,82.01
31024,81.05
31536,81.63
32032,80.9
32528,82.15
33024,81.11
33536,80.37
34032,81.33
34528,82.22
35024,82.02
35536,81.24
36032,81.51
36528,82.19
37024,82.55
37536,82.2
38032,81.69
38528,81.54
39024,82.55
39536,81.41
40032,81.47
40528,81.66
41024,81.59
41536,82.01
42032,80.93
42528,83.45
43024,80.15
43536,83.28
44048,82.51
44544,81.59
45040,80.61
45536,83.68
46048,83.19
46544,83.39
47040,83.77
47536,82.96
48048,83.33
48544,82.94
49040,82.17
49536,83.06
50048,83.74
50544,82.11
51040,82.97
51536,82.38
52048,82.91
52544,83.09
53040,81.41
53536,83.45
54048,82.84
54544,82.24
55040,83.51
55536,81.81
56048,82.19
56544,81.16
57040,82.92
57536,81.59
58048,82.82
58560,83.17
59056,82.01
59552,84.08
60048,82.98
60560,83.05
61056,82.2
61552,83.04
62048,82.15
62560,81.34
63056,82.66
63552,83.75
64048,84.45
64560,82.94
65056,82.6
65552,82.42
66048,82.85
66560,82.15
67056,81.73
67552,82.44
68048,82.15
68560,82.25
69056,83.1
69552,81.68
70048,82.04
70560,83.12
71056,81.91
71552,83.25
72048,82.41
72560,81.61
